Date,Price,open,high,low,volume,Change %,close
2019-09-10,27047.58,27089.84,27148.69,26977.36,364220000.0,-0.0016,27047.58
2019-09-11,27153.53,27047.58,27157.66,27009.52,211520000.0,0.0039000000000000003,27153.53
2019-09-12,27426.64,27153.53,27439.54,27142.88,115300000.0,0.0101,27426.64
2019-09-13,27779.0,27426.64,27779.73,27426.64,165240000.0,0.0128,27779.0
2019-09-16,27574.32,27779.0,27984.08,27538.33,268350000.00000003,-0.0074,27574.32
2019-09-17,27407.04,27574.32,27646.96,27371.89,196910000.0,-0.0060999999999999995,27407.04
2019-09-18,27681.61,27407.04,27700.07,27386.36,378800000.0,0.01,27681.61
2019-09-19,27646.15,27681.61,27698.44,27577.69,245430000.0,-0.0013,27646.15
2019-09-20,27698.69,27667.31,27715.27,27576.27,177410000.0,0.0019,27698.69
2019-09-23,27650.28,27698.69,27704.62,27650.82,109560000.0,-0.0017000000000000001,27650.28
2019-09-24,27352.24,27635.68,27635.68,27352.24,154030000.0,-0.0108,27352.24
2019-09-25,27283.05,27360.45,27371.59,27267.16,462310000.0,-0.0025,27283.05
2019-09-26,27579.85,27283.05,27579.85,27281.38,183460000.0,0.0109,27579.85
2019-09-27,27675.04,27579.85,27675.04,27368.84,187080000.0,0.0034999999999999996,27675.04
2019-09-30,27630.56,27675.04,27693.29,27113.91,194800000.0,-0.0016,27630.56
2019-10-02,27314.87,27630.56,27645.4,27261.25,175550000.0,-0.011399999999999999,27314.87
2019-10-03,27085.69,27314.87,27480.3,26575.54,151190000.0,-0.0084,27085.69
2019-10-04,26987.45,27085.69,27089.38,26974.83,138880000.0,-0.0036,26987.45
2019-10-07,26866.41,26987.45,27004.48,26835.58,151710000.0,-0.0045000000000000005,26866.41
2019-10-08,26809.92,26866.41,26896.09,26809.3,185940000.0,-0.0021,26809.92
2019-10-09,26598.94,26817.3,26817.3,26489.42,243010000.0,-0.0079,26598.94
2019-10-10,26583.75,26598.94,26599.87,26578.03,363250000.0,-0.0006,26583.75
2019-10-11,26533.78,26583.75,26702.39,26533.14,117380000.0,-0.0019,26533.78
2019-10-14,26557.44,26533.78,26607.06,26506.56,129080000.00000001,0.0009,26557.44
2019-10-15,26513.65,26557.44,26567.67,26510.14,174410000.0,-0.0016,26513.65
2019-10-16,26472.2,26513.65,26574.38,26470.68,138470000.0,-0.0016,26472.2
2019-10-17,26456.29,26472.2,26472.2,26429.94,144080000.0,-0.0006,26456.29
2019-10-18,26448.62,26456.29,26464.61,26374.84,310560000.0,-0.0003,26448.62
2019-10-21,26390.08,26448.62,26449.53,26382.21,135800000.0,-0.0022,26390.08
2019-10-22,26365.83,26390.08,26409.34,26353.55,519760000.0,-0.0009,26365.83
2019-10-23,26397.94,26365.83,26410.91,26294.57,168430000.0,0.0012,26397.94
2019-10-24,26357.24,26397.94,26410.84,26350.07,177040000.0,-0.0015,26357.24
2019-10-25,26348.73,26357.24,26360.2,26113.88,250540000.0,-0.0003,26348.73
2019-10-28,26384.45,26348.73,26394.37,26348.73,485890000.0,0.0014000000000000002,26384.45
2019-10-29,26244.39,26384.45,26388.4,26244.39,267899999.99999997,-0.0053,26244.39
2019-10-30,26310.77,26236.04,26385.37,26199.51,156850000.0,0.0025,26310.77
2019-10-31,26355.35,26310.77,26363.1,26227.6,347800000.0,0.0017000000000000001,26355.35
2019-11-01,26293.3,26355.35,26378.0,26217.91,252370000.0,-0.0024,26293.3
2019-11-04,26401.06,26293.3,26433.95,26293.3,368180000.0,0.0040999999999999995,26401.06
2019-11-05,26375.35,26401.06,26447.96,26299.86,304280000.0,-0.001,26375.35
2019-11-06,26223.66,26364.81,26367.19,26223.66,232090000.0,-0.0058,26223.66
2019-11-07,26188.24,26223.66,26242.53,26172.35,726190000.0,-0.0014000000000000002,26188.24
2019-11-08,26314.49,26188.24,26333.84,26143.12,432470000.0,0.0048,26314.49
2019-11-12,26456.39,26314.49,26512.6,26314.49,378350000.0,0.0054,26456.39
2019-11-13,26357.61,26456.39,26456.39,26338.25,610560000.0,-0.0037,26357.61
2019-11-14,26843.11,26339.11,26843.11,26339.11,624840000.0,0.0184,26843.11
2019-11-15,26851.68,26883.67,26984.06,26724.43,469990000.0,0.0003,26851.68
2019-11-18,26691.09,26851.68,26851.68,26666.4,307880000.0,-0.006,26691.09
2019-11-19,26739.44,26691.09,26861.14,26659.9,394350000.0,0.0018,26739.44
2019-11-20,26776.15,26750.49,27035.28,26750.49,267310000.0,0.0014000000000000002,26776.15
2019-11-21,26872.09,26776.15,26872.09,26721.99,239220000.0,0.0036,26872.09
2019-11-22,26991.42,26872.09,27039.8,26849.26,207260000.0,0.0044,26991.42
2019-11-25,27035.78,26991.42,27109.29,26980.27,230650000.0,0.0016,27035.78
2019-11-26,26883.33,27035.78,27096.53,26883.33,209970000.0,-0.005600000000000001,26883.33
2019-11-27,26790.1,26883.33,26893.32,26782.84,189860000.0,-0.0034999999999999996,26790.1
2019-11-28,26824.5,26790.1,26863.97,26790.1,303770000.0,0.0013,26824.5
2019-11-29,27002.15,26824.5,27028.05,26823.81,227160000.0,0.0066,27002.15
2019-12-02,26990.59,26999.69,27025.2,26931.13,246490000.0,-0.0004,26990.59
2019-12-03,26944.32,27000.35,27030.98,26833.39,189010000.0,-0.0017000000000000001,26944.32
2019-12-04,26938.58,26944.32,26956.43,26918.12,112880000.0,-0.0002,26938.58
2019-12-05,26913.7,26941.56,26948.42,26889.48,206730000.0,-0.0009,26913.7
2019-12-06,26855.52,26913.7,26926.72,26746.03,197030000.0,-0.0022,26855.52
2019-12-09,26681.31,26855.52,26855.52,26582.25,192670000.0,-0.006500000000000001,26681.31
2019-12-10,26384.21,26705.7,26716.38,26383.36,196290000.0,-0.0111,26384.21
2019-12-11,26434.0,26384.21,26445.8,26332.35,180060000.0,0.0019,26434.0
2019-12-12,26569.8,26434.0,26579.09,26434.0,319690000.0,0.0051,26569.8
2019-12-13,26536.21,26569.8,26627.68,26503.92,155340000.0,-0.0013,26536.21
2019-12-16,26695.18,26536.21,26695.18,26521.38,170520000.0,0.006,26695.18
2019-12-17,26660.44,26695.18,27006.97,26643.1,331910000.0,-0.0013,26660.44
2019-12-18,26665.73,26660.44,26691.44,26646.64,232680000.0,0.0002,26665.73
2019-12-19,26584.45,26665.73,26684.74,26536.01,304210000.0,-0.003,26584.45
2019-12-20,26526.35,26584.45,26584.45,26408.32,341610000.0,-0.0022,26526.35
2019-12-23,26115.8,26526.35,26526.35,26102.21,188790000.0,-0.0155,26115.8
2019-12-24,26092.82,26115.8,26124.73,26018.13,324380000.0,-0.0009,26092.82
2019-12-27,26416.48,26090.88,26419.73,26050.44,222480000.0,0.0124,26416.48
2019-12-30,26609.34,26416.48,26609.34,26240.29,382810000.0,0.0073,26609.34
2019-12-31,26842.07,26609.34,27357.84,26608.56,257010000.0,0.0087,26842.07
2020-01-02,26867.79,26845.79,26867.79,26657.32,263200000.0,0.001,26867.79
2020-01-03,26968.79,26867.79,26978.46,26867.79,608860000.0,0.0038,26968.79
2020-01-06,27339.68,26968.79,27339.68,26968.68,520390000.0,0.0138,27339.68
