,Date,Price,Open,High,Low,Vol.,Change %,Close,rsi,rsi at 70,rsi at 30,rsi at 50,buy,sell,Stop_loss,Profit,future_returns
155,12/04/2017,"25,496.71","25,478.06","25,514.28","25,441.66",247.66M,0.07%,25496.71,50.87961660613708,70,30,50,,,,,0.004506680117312589
156,13/04/2017,"25,510.01","25,496.82","25,530.34","25,438.52",349.28M,0.05%,25510.01,51.49638716449474,70,30,50,,,,,-0.0017235274124153266
157,18/04/2017,"25,218.12","25,510.17","25,510.17","25,213.80",246.09M,-1.14%,25218.12,39.42496860322186,70,30,50,,,,,-0.003904601806936192
158,19/04/2017,"25,331.77","25,207.07","25,331.77","25,181.14",232.30M,0.45%,25331.77,45.00238557124098,70,30,50,,,,,0.022139497732575286
159,20/04/2017,"25,288.11","25,331.77","25,342.03","25,245.51",147.89M,-0.17%,25288.11,43.30059877588373,70,30,50,,,,,0.0027894457811672435
160,21/04/2017,"25,189.37","25,282.75","25,318.02","25,177.28",171.60M,-0.39%,25189.37,39.543033941240516,70,30,50,,,,,-0.007666098477586369
161,24/04/2017,"25,747.05","25,189.37","25,785.63","25,159.24",211.76M,2.21%,25747.05,60.858647768839056,70,30,50,,,,,0.005154377630172791
162,25/04/2017,"25,818.87","25,747.05","25,857.10","25,745.47",127.42M,0.28%,25818.87,62.73852446815857,70,30,50,,,,,0.0005537218964779544
163,26/04/2017,"25,620.94","25,818.87","25,903.52","25,611.80",255.70M,-0.77%,25620.94,54.69470139299858,70,30,50,,,,,0.007681065041451829
164,27/04/2017,"25,753.00","25,620.94","25,804.14","25,618.26",360.01M,0.52%,25753.0,58.62713140473773,70,30,50,,,,,0.005852838301140251
165,28/04/2017,"25,767.26","25,753.00","25,893.91","25,639.34",366.47M,0.06%,25767.26,59.053547908547166,70,30,50,,,,,0.0019010496934006582
166,02/05/2017,"25,965.18","25,758.51","25,977.23","25,751.57",191.02M,0.77%,25965.18,64.66919214478014,70,30,50,,,,,0.002630432456395271
