open,high,low,close,volume
183.57,183.915,183.481,183.904,798821.0
183.621,183.94,183.44,183.574,767671.0
183.64,183.887,183.38,183.612,848021.0
183.77,183.81,183.45,183.65,969013.0
184.103,184.118,183.52,183.777,902348.0
184.08,184.15,183.86,184.105,821515.0
184.3,184.51,184.0,184.069,776221.0
184.59,184.64,184.1,184.3,812914.0
184.785,184.96,184.54,184.58,752959.0
184.56,184.79,184.34,184.78,815257.0
184.641,184.77,184.44,184.552,749815.0
184.928,185.18,184.6,184.601,954972.0
184.15,185.16,184.0,184.947,1101287.0
184.265,184.35,183.91,184.162,987450.0
184.69,184.77,184.05,184.26,967745.0
184.76,185.0,184.53,184.706,974533.0
184.05,184.88,184.0,184.75,1168952.0
183.95,184.29,183.85,184.038,1073851.0
183.82,184.058,183.76,183.94,953894.0
183.9,184.189,183.53,183.82,1486847.0
184.77,184.85,183.9,183.909,1593074.0
184.93,185.0,184.71,184.761,833349.0
185.22,185.66,184.79,184.93,1676706.0
185.13,185.29,184.62,185.236,1101137.0
185.336,185.39,184.64,185.106,1355734.0
184.96,185.46,184.73,185.35,1682599.0
185.07,185.2,184.8,184.97,1169824.0
184.79,185.32,182.862,185.052,1817731.0
183.851,185.12,183.77,184.79,2151864.0
183.051,183.9,182.66,183.84,1790427.0
183.08,183.49,182.96,183.05,1484941.0
183.04,183.27,182.5,183.062,2554471.0
183.495,183.58,183.0,183.02,2346120.0
184.2,185.6,183.41,183.48,2547737.0
185.11,185.77,184.0,184.17,2839562.0
185.015,185.59,184.48,185.128,1878875.0
184.96,185.62,184.2,185.069,2458919.0
184.93,185.74,184.42,184.87,3201019.0
185.975,186.13,183.55,184.93,3975499.0
184.975,186.78,184.3,185.97,4517560.0
185.5,186.3,184.1,184.974,5660880.0
185.09,185.75,185.0,185.48,170834.0
185.0,185.18,184.83,185.1,83879.0
184.94,185.26,182.63,185.01,116518.0
185.19,185.19,184.75,184.94,161693.0
185.23,185.45,185.18,185.19,74541.0
185.39,185.45,185.1,185.23,87187.0
185.45,185.6,185.33,185.375,89089.0
185.84,185.88,185.36,185.44,157396.0
185.45,185.88,185.3,185.85,149735.0
185.055,185.74,185.05,185.317,166938.0
184.89,185.25,184.89,185.05,152967.0
185.4,185.88,184.71,184.85,195496.0
184.87,185.49,184.82,185.41,106539.0
185.03,185.055,184.71,184.85,82249.0
185.445,185.48,185.0,185.06,135224.0
184.72,185.47,184.51,185.44,179102.0
184.96,185.14,182.39,184.75,172034.0
183.6,185.15,182.39,185.0,444671.0
184.17,184.18,184.0,184.1,26127.0
184.41,184.5,184.09,184.17,59707.0
184.39,184.41,184.3,184.41,28823.0
184.24,184.42,184.19,184.37,20998.0
184.5,184.59,184.05,184.24,56760.0
184.44,184.67,184.25,184.48,57900.0
183.85,184.47,183.81,184.44,69733.0
183.55,183.95,183.54,183.82,33130.0
183.48,183.6,183.43,183.55,20567.0
183.28,183.45,183.18,183.45,34009.0
183.48,183.54,183.04,183.3,48781.0
183.81,183.89,183.41,183.54,52900.0
183.86,183.88,183.8,183.84,13440.0
183.92,183.98,183.74,183.88,10740.0
183.42,184.01,183.42,183.92,25593.0
183.96,184.0,183.35,183.47,37237.0
184.16,184.16,183.72,183.97,13758.0
183.99,184.18,183.97,184.16,14868.0
184.0,184.05,183.87,183.96,6518.0
183.76,184.05,183.7,184.04,9921.0
183.85,183.85,183.65,183.75,17144.0
183.87,184.0,183.81,183.85,8831.0
184.2,184.2,183.82,183.88,14778.0
184.09,184.27,184.08,184.2,13476.0
183.71,184.1,183.7,184.1,8336.0
184.09,184.15,183.7,183.7,15145.0
184.31,184.35,184.01,184.15,19008.0
184.0,184.44,183.98,184.34,17430.0
184.14,184.2,183.74,184.0,19726.0
184.44,184.44,184.13,184.2,11418.0
184.24,184.47,184.24,184.42,14143.0
184.16,184.33,184.07,184.23,10703.0
184.08,184.3,183.89,184.16,9341.0
183.76,184.12,183.75,184.04,10527.0
184.1,184.22,183.64,183.81,34684.0
184.07,184.3,184.0,184.1,15450.0
183.91,184.24,183.88,184.08,17084.0
183.85,183.92,183.8,183.89,13106.0
183.7,183.88,183.7,183.82,14615.0
183.82,183.86,183.63,183.7,13856.0
183.59,183.89,183.55,183.85,14314.0
183.76,183.78,183.44,183.55,21003.0
183.55,183.87,183.53,183.75,17146.0
183.22,183.69,183.21,183.58,13804.0
183.28,183.4,183.13,183.22,14798.0
183.3,183.5,183.24,183.3,19756.0
183.19,183.38,182.63,183.28,37744.0
183.31,184.5,182.61,183.19,57456.0
182.075,182.19,181.9,181.99,66848.0
182.14,182.25,182.0,182.05,44318.0
182.37,182.5,182.1,182.15,31143.0
182.21,182.35,182.02,182.3,33010.0
182.36,182.55,182.0,182.2,33560.0
182.65,182.67,182.37,182.37,46546.0
182.68,182.82,182.63,182.65,16525.0
182.83,182.83,182.66,182.68,23640.0
